"Reference","Value","Datasheet","Footprint","Qty","DNP","Digikey","LCSC"
"ANT1","GPS Antenna","","Custom DS:Pulse ANT8010LL05R1575A Antenna","1","","553-ANT8010LL05R1575ACT-ND","C3284202"
"ANT2","SMA Edge Mount (Optional)","~","Connector_Coaxial:SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount","1","","CON-SMA-EDGE-S-ND",""
"C1","6V 0.5F","~","Custom DS:CDS CSP Super Cap 8mm dia","1","","4688-CSP-6R0L504R-TW-ND",""
"C2,C3,C4,C5,C6,C7,C9,C10,C11,C13,C14,C20","10nF","~","Capacitor_SMD:C_0805_2012Metric","12","","399-1158-1-ND","C83170"
"C8","2.2uF","~","Capacitor_SMD:C_0805_2012Metric","1","","445-1420-1-ND","C107128"
"C12,C21","47uF","~","Capacitor_SMD:C_0805_2012Metric","2","","399-C0805C476M9PACTUCT-ND","C16780"
"C15","100nF","~","Capacitor_SMD:C_0805_2012Metric","1","","399-C0805C104K5RACTUCT-ND","C49678"
"C16,C19","180pF","~","Capacitor_SMD:C_0805_2012Metric","2","","490-11541-1-ND","C113826"
"C17,C18","270pF","~","Capacitor_SMD:C_0805_2012Metric","2","","490-9738-1-ND","C527183"
"D1,D2,D4","CDBA340L-G Schottky","~","Diode_SMD:D_SMA","3","","641-1258-1-ND","C22364900"
"D3","5.1V Zenor","~","Diode_SMD:D_SOD-123","1","","MMSZ5231B-FDICT-ND","C85181"
"D5","Red","~","Diode_SMD:D_0805_2012Metric","1","","LTST-C171KRKT","C2295"
"D6","Green","~","Diode_SMD:D_0805_2012Metric","1","","LTST-C171GKT","C2297 "
"J1","6 Pin Male Header","~","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","1","","732-5394-ND",""
"J2","Programming","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","","732-5316-ND",""
"L1,L3","330nH","~","Inductor_SMD:L_0805_2012Metric","2","","490-5672-1-ND","C184530"
"L2","390nH","~","Inductor_SMD:L_0805_2012Metric","1","","490-5673-1-ND","C108076"
"PV1,PV2","5.5V 180mW Solar","https://www.powerfilmsolar.com/hubfs/documents/spec%20sheets/electronic%20component%20solar%20panels/electronic%20component%20solar%20panels%20spec%20sheet_classic%20application%20series.pdf","Custom DS:PowerFilm MPT3.6-75","2","","1996-1020-ND",""
"Q5","DMP2004K-7","","Package_TO_SOT_SMD:SOT-23","1","","DMP2004KDICT-ND","C332297"
"R1","47","~","Resistor_SMD:R_2512_6332Metric","1","","YAG3404CT-ND","C513678"
"R2","150k","~","Resistor_SMD:R_0805_2012Metric","1","","311-150KCRCT-ND","C114558"
"R3,R7,R10,R11","10k","~","Resistor_SMD:R_0805_2012Metric","4","","13-RT0805FRD0710KLCT-ND","C100047"
"R4,R5","1k","~","Resistor_SMD:R_0805_2012Metric","2","","311-1.0KARCT-ND","C95781"
"R6","1M","~","Resistor_SMD:R_0805_2012Metric","1","","311-1.0MARCT-ND","C107700"
"R8,R9","4.7k","~","Resistor_SMD:R_0805_2012Metric","2","","311-4.7KARCT-ND","C60816"
"U1","LP3985IM5-3.3/NOPB","https://www.ti.com/lit/ds/symlink/lp3985.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1737860010554","Package_TO_SOT_SMD:SOT-23-5","1","","LP3985IM5-3.3/NOPBCT-ND","C108877"
"U2","ATMega 328p-AU","https://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-7810-Automotive-Microcontrollers-ATmega328P_Datasheet.pdf","Package_QFP:TQFP-32_7x7mm_P0.8mm","1","","ATMEGA328P-AU-ND","C14877"
"U3","Si5351A-B-GT","https://www.silabs.com/documents/public/data-sheets/Si5351-B.pdf","Package_SO:MSOP-10_3x3mm_P0.5mm","1","","336-2399-5-ND","C504891"
"U4","ATGM336H-5N31","https://www.tinytronics.nl/product_files/002176_ATGM336H.pdf","Custom DS:ATGM336H-5N31","1","","ALIEXPRESS","C90770"
"U5","APX803S (SOT23SA)","","Package_TO_SOT_SMD:SOT-23","1","","APX803S-31SA-7DICT-ND","C129757"
"Y1","8MHz","~","Crystal:Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm","1","","490-CSTNE8M00G520000R0CT-ND","C907975"
"Y2","27MHz Xtal - 7M-27.000MEEQ-T","~","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","1","","887-1328-1-ND","C2450429"
